group_level,group_key,group_node_count,business,business_name,business_node_count,business_node_frequency
hardware_config,1005.0|jarvis.A|INSPUR|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,10000069,腾讯汇聚P2P,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,10000278,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,10000280,七牛CDN-ZJ月95,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,10000282,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,10000292,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,10000295,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M4|dedicated|dedicated|False|q3|q3|q3|q3,1,1380460970,七牛CDN,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000069,腾讯汇聚P2P,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000278,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000279,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000280,七牛CDN-ZJ月95,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000281,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000282,,1,1.0
hardware_config,1005.0|jarvis.A|Inspur|SA5212M5|idc|dedicated|False|q3|q3|q3|q3,1,10000292,,1,1.0
hardware_config,10063.0|ant.B|__MISSING__|__MISSING__|smallBox|aggregation|False|q3|q3|q3|q3,1,10000006,字节小节点,1,1.0
hardware_config,10063.0|ant.B|__MISSING__|__MISSING__|smallBox|aggregation|False|q3|q3|q3|q3,1,10000041,B站Web盒子,1,1.0
hardware_config,10063.0|ant.B|__MISSING__|__MISSING__|smallBox|aggregation|False|q3|q3|q3|q3,1,10000139,百度小度盒子,1,1.0
hardware_config,10063.0|ant.B|__MISSING__|__MISSING__|smallBox|aggregation|False|q3|q3|q3|q3,1,1380389889,爱奇艺盒子,1,1.0
hardware_config,1018.0|jarvis.A|INSPUR|SA5212M4|idc|dedicated|False|q3|q3|q3|q3,3,1380317970,快手点播,2,0.6666666666666666
hardware_config,1067.0|jarvis.A|INSPUR|SA5212M4|idc|dedicated|False|q3|q3|q3|q3,1,10000069,腾讯汇聚P2P,1,1.0
hardware_config,1067.0|jarvis.A|INSPUR|SA5212M4|idc|dedicated|False|q3|q3|q3|q3,1,10000278,,1,1.0
hardware_config,1067.0|jarvis.A|INSPUR|SA5212M4|idc|dedicated|False|q3|q3|q3|q3,1,10000279,,1,1.0
hardware_config,1067.0|jarvis.A|INSPUR|SA5212M4|idc|dedicated|False|q3|q3|q3|q3,1,10000281,,1,1.0
hardware_config,1067.0|jarvis.A|INSPUR|SA5212M4|idc|dedicated|False|q3|q3|q3|q3,1,10000304,快手严选,1,1.0
